,amenity_type,coordinates,county
868,Restaurant,"(-98.32649801657901, 29.572267148970433)",Bexar
869,Restaurant,"(-98.33021844447224, 29.571983465278105)",Bexar
870,Restaurant,"(-98.32695601915755, 29.574292606199712)",Bexar
871,Restaurant,"(-98.44913439477124, 29.64975274890017)",Bexar
872,Restaurant,"(-98.44856843849627, 29.64945384762993)",Bexar
873,Restaurant,"(-98.45434834999999, 29.643085300000003)",Bexar
874,Restaurant,"(-98.28024434440087, 29.532438106777896)",Bexar
875,Restaurant,"(-98.4512355564271, 29.650640680047438)",Bexar
876,Restaurant,"(-98.45180233006344, 29.649741492981263)",Bexar
877,Restaurant,"(-98.39669041557872, 29.509812378619994)",Bexar
878,Restaurant,"(-98.39745795000002, 29.506831450000004)",Bexar
879,Restaurant,"(-98.397297636893, 29.507526321734066)",Bexar
880,Restaurant,"(-98.39605340834466, 29.509801592109792)",Bexar
881,Restaurant,"(-98.45030026928256, 29.51735426518165)",Bexar
882,Restaurant,"(-98.44830970951752, 29.532241379428328)",Bexar
883,Restaurant,"(-98.31646291673567, 29.578218267612925)",Bexar
884,Restaurant,"(-98.38102110667633, 29.437797377342072)",Bexar
885,Restaurant,"(-98.33563471016741, 29.564654522693157)",Bexar
886,Restaurant,"(-98.33051967960735, 29.562756315858547)",Bexar
887,Restaurant,"(-98.33538483581184, 29.564122769885945)",Bexar
888,Restaurant,"(-98.40126412452526, 29.486305532947217)",Bexar
889,Restaurant,"(-98.34472952804698, 29.70954977417191)",Bexar
890,Restaurant,"(-98.330097458076, 29.562589211793085)",Bexar
891,Restaurant,"(-98.3960307250557, 29.513820822910326)",Bexar
892,Restaurant,"(-98.39614590061667, 29.512820126091192)",Bexar
893,Restaurant,"(-98.39610630000001, 29.512455649999996)",Bexar
894,Restaurant,"(-98.45178813767137, 29.691556252082112)",Bexar
895,Restaurant,"(-98.387554, 29.511109150000003)",Bexar
896,Restaurant,"(-98.42437445, 29.6435319)",Bexar
897,Restaurant,"(-98.30351113658607, 29.552403555261254)",Bexar
898,Restaurant,"(-98.28801147457916, 29.5447808294022)",Bexar
899,Restaurant,"(-98.4549935358062, 29.51687962626298)",Bexar
900,Restaurant,"(-98.46063688567291, 29.440010338759723)",Bexar
901,Restaurant,"(-98.36983488450619, 29.546078045440336)",Bexar
902,Restaurant,"(-98.3526195378587, 29.59087144433818)",Bexar
903,Restaurant,"(-98.35227725300872, 29.59420522629229)",Bexar
904,Restaurant,"(-98.42752795895348, 29.44853170256395)",Bexar
905,Restaurant,"(-98.45241137766428, 29.64994698608422)",Bexar
906,Restaurant,"(-98.37450797358407, 29.54956800596083)",Bexar
907,Restaurant,"(-98.37283990786887, 29.549475331497984)",Bexar
908,Restaurant,"(-98.32583126066211, 29.560477088669877)",Bexar
909,Restaurant,"(-98.31531046887312, 29.46026971795436)",Bexar
910,Restaurant,"(-98.3618689256335, 29.47936358844091)",Bexar
911,Restaurant,"(-98.31151860618172, 29.482995577624166)",Bexar
912,Restaurant,"(-98.4473746, 29.6138731)",Bexar
913,Restaurant,"(-98.44790675, 29.61445055)",Bexar
914,Restaurant,"(-98.46134376777786, 29.440801845386318)",Bexar
915,Restaurant,"(-98.34642595398968, 29.555492684120683)",Bexar
916,Restaurant,"(-98.4891537, 29.4251879)",Bexar
917,Restaurant,"(-98.7082424, 29.4362314)",Bexar
918,Restaurant,"(-98.4815217, 29.4373641)",Bexar
919,Restaurant,"(-98.4920359, 29.4310505)",Bexar
920,Restaurant,"(-98.4882913, 29.4218605)",Bexar
921,Restaurant,"(-98.4883745, 29.4241383)",Bexar
922,Restaurant,"(-98.4785197, 29.4214879)",Bexar
923,Restaurant,"(-98.4895838, 29.4152835)",Bexar
924,Restaurant,"(-98.4888784, 29.4144868)",Bexar
925,Restaurant,"(-98.4923358, 29.4123933)",Bexar
926,Restaurant,"(-98.478106, 29.4248817)",Bexar
927,Restaurant,"(-98.5029057, 29.4254445)",Bexar
928,Restaurant,"(-98.6477268, 29.4166457)",Bexar
929,Restaurant,"(-98.500478, 29.4125275)",Bexar
930,Restaurant,"(-98.4880698, 29.4218135)",Bexar
931,Restaurant,"(-98.4890676, 29.4266542)",Bexar
932,Restaurant,"(-98.6553107, 29.4168214)",Bexar
933,Restaurant,"(-98.4882124, 29.4236354)",Bexar
934,Restaurant,"(-98.4897974, 29.4309475)",Bexar
935,Restaurant,"(-98.4862585, 29.4244593)",Bexar
